Frame,Sub Frame,Phone_RX,Phone_RY,Phone_RZ,Phone_TX,Phone_TY,Phone_TZ,Robot_RX,Robot_RY,Robot_RZ,Robot_TX,Robot_TY,Robot_TZ
0,,deg,deg,deg,mm,mm,mm,deg,deg,deg,mm,mm,mm
1,0,147.201,121.953,141.183,627.143,-127.357,1174.78,-45.2831,88.1215,49.2304,380.019,-148.638,54.5009
2,0,147.273,121.935,141.139,627.115,-127.209,1174.9,-45.2593,88.104,49.2416,380.028,-148.632,54.4966
3,0,147.427,121.882,141.103,627.087,-127.076,1175.07,-45.2587,88.0906,49.2487,380.027,-148.631,54.506
4,0,147.47,121.829,141.121,627.061,-126.981,1175.23,-45.2837,88.106,49.2368,380.012,-148.624,54.4954
5,0,147.588,121.78,141.095,627.011,-126.878,1175.37,-45.2651,88.1029,49.2358,380.018,-148.622,54.4907
6,0,147.674,121.773,141.039,626.928,-126.793,1175.47,-45.2555,88.0879,49.2545,380.012,-148.607,54.4771
7,0,147.691,121.739,141.046,626.864,-126.714,1175.55,-45.2636,88.1205,49.2403,380.009,-148.616,54.4729
8,0,147.722,121.734,141.027,626.768,-126.631,1175.62,-45.2631,88.0727,49.2698,380,-148.597,54.487
9,0,147.68,121.754,141.023,626.654,-126.567,1175.66,-45.2723,88.0933,49.2388,380.007,-148.595,54.4808
10,0,147.687,121.764,140.973,626.55,-126.518,1175.67,-45.2714,88.083,49.2443,380,-148.606,54.4664
11,0,147.668,121.783,140.95,626.426,-126.464,1175.66,-45.2911,88.1084,49.2306,379.995,-148.604,54.4629
12,0,147.604,121.791,140.968,626.299,-126.414,1175.66,-45.2614,88.0753,49.258,379.994,-148.576,54.4549
13,0,147.577,121.821,140.934,626.172,-126.376,1175.65,-45.2647,88.098,49.2652,379.985,-148.572,54.4399
14,0,147.59,121.85,140.923,626.032,-126.347,1175.69,-45.2878,88.1189,49.249,379.978,-148.559,54.4434
15,0,147.539,121.832,140.951,625.926,-126.337,1175.69,-45.2833,88.0859,49.243,379.982,-148.587,54.4468
16,0,147.524,121.855,140.966,625.804,-126.326,1175.72,-45.2769,88.104,49.2463,379.979,-148.559,54.43
17,0,147.547,121.889,140.925,625.663,-126.327,1175.73,-45.2613,88.0726,49.2575,379.991,-148.559,54.4532
18,0,147.585,121.947,140.862,625.521,-126.356,1175.74,-45.2927,88.0916,49.225,379.994,-148.58,54.4367
19,0,147.583,121.989,140.809,625.392,-126.357,1175.71,-45.247,88.0867,49.2918,379.974,-148.574,54.4348
20,0,147.674,121.992,140.768,625.258,-126.362,1175.74,-45.2592,88.0856,49.2714,379.98,-148.56,54.4476
21,0,147.72,122.01,140.731,625.146,-126.404,1175.76,-45.2905,88.104,49.2574,379.988,-148.57,54.4703
22,0,147.684,122.019,140.798,625.032,-126.433,1175.8,-45.3061,88.0885,49.225,379.992,-148.571,54.4545
23,0,147.713,122.089,140.727,624.894,-126.5,1175.81,-45.2902,88.0914,49.2375,379.988,-148.567,54.457
24,0,147.717,122.069,140.808,624.763,-126.531,1175.83,-45.267,88.0765,49.2634,379.992,-148.575,54.4505
25,0,147.795,122.113,140.736,624.616,-126.593,1175.81,-45.2801,88.0997,49.2545,379.983,-148.569,54.43
26,0,147.728,122.154,140.765,624.476,-126.642,1175.77,-45.3023,88.112,49.2335,379.989,-148.587,54.4286
27,0,147.804,122.233,140.695,624.292,-126.723,1175.74,-45.2967,88.1155,49.2429,379.986,-148.57,54.4513
28,0,147.718,122.337,140.678,624.12,-126.782,1175.63,-45.2913,88.1037,49.2474,379.976,-148.568,54.4291
29,0,147.694,122.423,140.644,623.938,-126.865,1175.53,-45.2972,88.0942,49.2414,379.989,-148.579,54.4469
30,0,147.581,122.563,140.626,623.719,-126.97,1175.37,-45.2709,88.0734,49.2476,379.981,-148.569,54.4394
31,0,147.431,122.67,140.655,623.522,-127.114,1175.23,-45.2808,88.0778,49.2566,379.98,-148.571,54.4335
32,0,147.371,122.816,140.655,623.263,-127.276,1175.12,-45.2934,88.0819,49.2348,379.983,-148.568,54.4408
33,0,147.238,122.955,140.699,623.013,-127.488,1175.01,-45.3063,88.111,49.2424,379.99,-148.58,54.4468
34,0,147.054,123.135,140.756,622.726,-127.708,1174.88,-45.2621,88.1142,49.2958,379.982,-148.556,54.4335
35,0,146.943,123.377,140.75,622.385,-127.965,1174.77,-45.2828,88.124,49.2287,379.999,-148.567,54.4417
36,0,146.766,123.487,140.899,622.095,-128.229,1174.73,-45.2958,88.1064,49.246,379.987,-148.549,54.4247
37,0,146.534,123.593,141.102,621.827,-128.51,1174.75,-45.2846,88.0885,49.2553,379.98,-148.549,54.4228
38,0,146.363,123.676,141.256,621.574,-128.789,1174.77,-45.2521,88.0615,49.251,379.994,-148.575,54.4599
39,0,146.296,123.792,141.311,621.284,-129.07,1174.82,-45.2642,88.1003,49.2736,379.976,-148.566,54.4188
40,0,146.258,123.854,141.358,621.026,-129.347,1174.91,-45.2841,88.0891,49.239,379.985,-148.571,54.4529
41,0,146.233,123.957,141.365,620.758,-129.655,1175.03,-45.2914,88.0862,49.2566,379.977,-148.555,54.4227
42,0,146.315,124.084,141.294,620.467,-129.99,1175.2,-45.269,88.0733,49.2494,379.984,-148.567,54.4415
43,0,146.12,124.084,141.593,620.228,-130.226,1175.42,-45.2868,88.1015,49.2464,379.987,-148.566,54.4353
44,0,146.118,124.272,141.542,619.915,-130.59,1175.62,-45.2764,88.1038,49.251,379.988,-148.56,54.4402
45,0,146.146,124.554,141.316,619.592,-131.089,1175.89,-45.2875,88.1026,49.2402,379.981,-148.564,54.4412
46,0,146.014,124.75,141.343,619.29,-131.497,1176.22,-45.2859,88.0959,49.2408,380.003,-148.579,54.4486
47,0,145.757,124.861,141.49,619.074,-131.912,1176.61,-45.2723,88.0574,49.2706,379.986,-148.562,54.436
48,0,145.694,125.038,141.534,618.782,-132.365,1177.09,-45.3077,88.1117,49.2508,379.978,-148.553,54.4183
49,0,145.576,125.068,141.738,618.601,-132.815,1177.72,-45.2794,88.0941,49.2459,379.992,-148.559,54.4473
50,0,145.525,125.044,142.046,618.37,-133.129,1178.34,-45.2928,88.0741,49.2396,379.997,-148.567,54.4476
51,0,145.607,124.977,142.213,618.223,-133.567,1179.1,-45.2891,88.0981,49.2567,379.983,-148.565,54.4334
52,0,145.885,124.943,142.101,618.13,-134.061,1179.88,-45.2852,88.0879,49.2533,379.981,-148.572,54.4255
53,0,146.224,124.822,142.139,618.035,-134.435,1180.72,-45.2966,88.0879,49.2585,379.985,-148.548,54.4342
54,0,146.582,124.783,142.036,617.922,-134.818,1181.52,-45.2679,88.0839,49.2752,379.991,-148.543,54.4438
55,0,146.813,124.763,141.926,617.816,-135.138,1182.19,-45.2746,88.0848,49.2451,379.99,-148.567,54.4498
56,0,146.991,124.818,141.811,617.699,-135.407,1182.82,-45.2809,88.0909,49.2488,379.987,-148.558,54.4318
57,0,147.081,124.957,141.735,617.547,-135.643,1183.37,-45.2654,88.0852,49.2561,379.998,-148.569,54.4498
58,0,147.08,125.091,141.725,617.415,-135.881,1183.88,-45.3047,88.1005,49.2357,379.987,-148.557,54.4139
59,0,147.071,125.378,141.687,617.186,-136.078,1184.4,-45.2534,88.0595,49.2684,379.983,-148.555,54.4461
60,0,147.009,125.475,141.649,617.137,-136.308,1184.85,-45.2736,88.0982,49.2447,379.993,-148.591,54.4521
61,0,146.886,125.369,141.831,617.178,-136.527,1185.35,-45.2727,88.0577,49.2551,379.987,-148.578,54.4444
62,0,146.814,125.257,142.163,617.193,-136.595,1185.88,-45.2827,88.089,49.2591,379.993,-148.578,54.4479
63,0,146.891,125.365,141.987,617.201,-136.863,1186.36,-45.2705,88.0843,49.2703,379.991,-148.559,54.4462
64,0,147.172,125.298,141.98,617.239,-136.983,1186.91,-45.2848,88.1151,49.2627,379.997,-148.574,54.4437
65,0,147.485,125.259,141.845,617.311,-137.087,1187.4,-45.2607,88.0794,49.2635,379.994,-148.575,54.4573
66,0,147.668,125.146,141.855,617.422,-137.13,1187.83,-45.2526,88.0753,49.2698,379.991,-148.57,54.4532
67,0,147.905,125.021,141.824,617.566,-137.151,1188.23,-45.2595,88.0884,49.2673,379.988,-148.567,54.4546
68,0,148.215,124.907,141.697,617.695,-137.109,1188.53,-45.2454,88.0651,49.2641,380,-148.577,54.4643
69,0,148.496,124.786,141.579,617.848,-137.055,1188.81,-45.279,88.0875,49.2665,379.988,-148.567,54.4473
70,0,148.684,124.647,141.533,618.009,-136.948,1189,-45.2749,88.0842,49.2525,379.984,-148.573,54.4399
71,0,148.904,124.615,141.362,618.108,-136.845,1189.07,-45.2923,88.0985,49.2742,379.987,-148.561,54.4442
72,0,148.919,124.603,141.334,618.194,-136.684,1189.05,-45.2849,88.1056,49.2277,379.996,-148.567,54.4205
73,0,148.888,124.619,141.273,618.268,-136.513,1188.93,-45.2559,88.0907,49.2653,379.996,-148.583,54.454
74,0,148.835,124.591,141.265,618.341,-136.337,1188.77,-45.3002,88.118,49.2374,379.976,-148.562,54.422
75,0,148.683,124.632,141.299,618.369,-136.087,1188.52,-45.2986,88.061,49.3103,380.01,-148.581,54.4256
76,0,148.573,124.679,141.272,618.397,-135.843,1188.21,-45.2579,88.0611,49.2975,380.024,-148.566,54.4326
77,0,148.328,124.611,141.522,618.451,-135.496,1187.92,-45.2881,88.0642,49.267,380.023,-148.565,54.4213
78,0,148.234,124.665,141.5,618.465,-135.286,1187.6,-45.2592,88.0886,49.2629,379.991,-148.558,54.4487
79,0,148.144,124.786,141.393,618.472,-135.162,1187.29,-45.2971,88.0952,49.2422,379.991,-148.566,54.4374
80,0,147.93,124.879,141.418,618.488,-134.96,1186.94,-45.2652,88.0877,49.2308,379.993,-148.566,54.4476
81,0,147.779,124.92,141.494,618.515,-134.766,1186.67,-45.2695,88.1048,49.2709,379.981,-148.574,54.431
82,0,147.667,124.957,141.555,618.553,-134.545,1186.39,-45.3108,88.1011,49.2374,379.984,-148.563,54.419
83,0,147.607,124.963,141.554,618.624,-134.34,1186.14,-45.2719,88.065,49.2436,379.99,-148.554,54.4418
84,0,147.571,124.99,141.501,618.707,-134.108,1185.87,-45.2789,88.051,49.284,380.016,-148.545,54.4212
85,0,147.535,124.986,141.424,618.813,-133.859,1185.58,-45.2729,88.0541,49.2809,380.015,-148.566,54.4339
86,0,147.58,124.93,141.359,618.948,-133.645,1185.35,-45.2853,88.1065,49.2587,379.989,-148.562,54.4396
87,0,147.723,125.031,141.184,618.975,-133.421,1185.13,-45.2343,88.0403,49.333,380.014,-148.569,54.4332
88,0,147.686,124.933,141.129,619.182,-133.246,1184.9,-45.28,88.0553,49.254,380.023,-148.565,54.4062
89,0,147.686,124.992,141.05,619.279,-133.038,1184.74,-45.2587,88.049,49.3028,380.015,-148.567,54.4489
90,0,147.639,124.963,141.014,619.442,-132.845,1184.58,-45.2774,88.077,49.2722,380.02,-148.547,54.4354
91,0,147.726,124.939,140.947,619.566,-132.669,1184.44,-45.2579,88.0735,49.2579,379.992,-148.558,54.4521
92,0,147.655,124.904,140.953,619.732,-132.496,1184.32,-45.2642,88.0627,49.3,380.018,-148.574,54.4458
93,0,147.607,124.899,140.966,619.872,-132.36,1184.24,-45.2787,88.0337,49.2815,380.015,-148.569,54.4315
94,0,147.588,124.826,141.025,620.025,-132.222,1184.22,-45.3036,88.1093,49.2445,379.978,-148.567,54.4085
95,0,147.521,124.806,141.044,620.179,-132.076,1184.15,-45.2604,88.038,49.2931,380.006,-148.561,54.4265
96,0,147.506,124.72,141.089,620.345,-131.919,1184.11,-45.2695,88.0916,49.2747,379.98,-148.555,54.4615
97,0,147.511,124.656,141.07,620.487,-131.805,1184.05,-45.2714,88.0862,49.2396,379.999,-148.562,54.4596
98,0,147.521,124.623,141.038,620.595,-131.707,1183.97,-45.2723,88.0396,49.2721,380.012,-148.57,54.4283
99,0,147.423,124.407,141.171,620.82,-131.693,1183.95,-45.2525,88.022,49.2978,380.028,-148.574,54.4266
100,0,147.422,124.382,141.197,620.897,-131.648,1183.91,-45.2684,88.029,49.2683,380.022,-148.589,54.4169
101,0,147.563,124.573,141.064,620.799,-131.59,1183.86,-45.2812,88.0523,49.2908,380.018,-148.568,54.4153
102,0,147.569,124.613,141.033,620.804,-131.58,1183.78,-45.2687,88.0312,49.2749,380.029,-148.574,54.4568
103,0,147.596,124.666,140.993,620.753,-131.576,1183.65,-45.2979,88.0864,49.2631,380.019,-148.547,54.4221
104,0,147.52,124.716,141.054,620.687,-131.618,1183.52,-45.2733,88.092,49.234,379.989,-148.566,54.4482
105,0,147.405,124.622,141.199,620.715,-131.717,1183.42,-45.2672,88.0517,49.3026,380.025,-148.563,54.4269
106,0,147.441,124.811,141.205,620.51,-131.766,1183.31,-45.2876,88.0451,49.2707,380.013,-148.572,54.415
107,0,147.398,124.845,141.258,620.417,-131.845,1183.19,-45.2621,88.0425,49.2963,380.011,-148.571,54.4375
108,0,147.244,124.859,141.391,620.345,-131.932,1183.06,-45.274,88.1131,49.2473,380,-148.564,54.4336
109,0,147.122,124.9,141.464,620.242,-131.994,1182.88,-45.2633,88.041,49.2863,380.022,-148.571,54.446
110,0,147.045,124.944,141.5,620.145,-132.076,1182.71,-45.238,88.0187,49.2924,380.026,-148.571,54.4634
111,0,147.032,124.995,141.484,620.039,-132.16,1182.52,-45.2791,88.061,49.2731,380.018,-148.567,54.4318
112,0,147.002,124.88,141.546,620.037,-132.272,1182.35,-45.2609,88.0355,49.2915,380.02,-148.594,54.444
113,0,146.964,124.928,141.537,619.948,-132.343,1182.18,-45.2787,88.0419,49.2745,380.022,-148.575,54.4132
114,0,146.942,124.953,141.563,619.863,-132.417,1182.08,-45.2756,88.0347,49.2796,380.023,-148.577,54.4546
115,0,146.967,124.95,141.558,619.809,-132.496,1181.96,-45.2814,88.0607,49.2841,380.014,-148.564,54.4394
116,0,146.991,124.965,141.531,619.739,-132.559,1181.83,-45.2754,88.0582,49.2926,380.016,-148.558,54.432
117,0,146.973,124.958,141.553,619.683,-132.656,1181.69,-45.2914,88.0721,49.2803,380.001,-148.56,54.4073
118,0,146.959,124.967,141.575,619.623,-132.737,1181.58,-45.2785,88.0472,49.3136,380.008,-148.572,54.4437
119,0,146.779,124.993,141.694,619.559,-132.818,1181.44,-45.261,88.0359,49.2725,380.024,-148.585,54.4424
120,0,146.687,125.003,141.759,619.495,-132.915,1181.31,-45.2695,88.0483,49.2811,380.022,-148.582,54.427
121,0,146.565,125.047,141.813,619.43,-133.019,1181.15,-45.2685,88.0347,49.2918,380.009,-148.575,54.4326
122,0,146.552,125.111,141.788,619.355,-133.132,1181.04,-45.285,88.0464,49.2686,380.019,-148.583,54.4538
123,0,146.518,125.124,141.815,619.298,-133.278,1180.95,-45.2629,88.0507,49.2992,380.009,-148.557,54.4103
